idx,AirQualityStation,img_path,s5p_path,date,NO2
10,boyne_island,boyne_island/S2B_MSIL2A_20210721T001109_N0500_R073_T56KLU_20230129T091947.npy,boyne_island/S5P_OFFL_L2__NO2____20210721.nc,21/07/2021,1.881799591
11,boyne_island,boyne_island/S2B_MSIL2A_20210621T001109_N0500_R073_T56KLU_20230201T025610.npy,boyne_island/S5P_RPRO_L2__NO2____20210621.nc,21/06/2021,2.587474438
12,boyne_island,boyne_island/S2B_MSIL2A_20210522T001109_N0500_R073_T56KLU_20230206T054355.npy,boyne_island/S5P_OFFL_L2__NO2____20210522.nc,22/05/2021,1.568165699
13,boyne_island,boyne_island/S2A_MSIL2A_20190905T001111_N0500_R073_T56KLU_20230502T105804.npy,boyne_island/S5P_OFFL_L2__NO2____20190905.nc,5/09/2019,11.29079755
14,boyne_island,boyne_island/S2B_MSIL2A_20210919T001109_N0500_R073_T56KLU_20230114T071128.npy,boyne_island/S5P_RPRO_L2__NO2____20210919.nc,19/09/2021,2.509065494
15,boyne_island,boyne_island/S2B_MSIL2A_20191109T001109_N0500_R073_T56KLU_20230611T025647.npy,boyne_island/S5P_RPRO_L2__NO2____20191109.nc,9/11/2019,2.587474438
16,boyne_island,boyne_island/S2A_MSIL2A_20220611T001121_N0400_R073_T56KLU_20220611T031613.npy,boyne_island/S5P_RPRO_L2__NO2____20220611.nc,11/06/2022,0.981808237
17,boyne_island,boyne_island/S2B_MSIL2A_20210601T001109_N0500_R073_T56KLU_20230129T161150.npy,boyne_island/S5P_OFFL_L2__NO2____20210601.nc,1/06/2021,2.11702454
18,clinton,clinton/S2A_MSIL2A_20200422T001111_N0500_R073_T56KLU_20230406T200210.npy,clinton/S5P_OFFL_L2__NO2____20200422.nc,22/04/2020,10.66353164
19,clinton,clinton/S2A_MSIL2A_20220711T001121_N0400_R073_T56KLU_20220711T033225.npy,clinton/S5P_OFFL_L2__NO2____20220711.nc,11/07/2022,15.1534396
20,clinton,clinton/S2B_MSIL2A_20230522T001119_N0509_R073_T56KLU_20230522T014308.npy,clinton/S5P_OFFL_L2__NO2____20230522.nc,22/05/2023,8.546507103
21,clinton,clinton/S2B_MSIL2A_20220417T001109_N0400_R073_T56KLU_20220417T022754.npy,clinton/S5P_OFFL_L2__NO2____20220417.nc,17/04/2022,4.155640136
22,clinton,clinton/S2A_MSIL2A_20220412T001111_N0400_R073_T56KLU_20220412T023341.npy,clinton/S5P_OFFL_L2__NO2____20220412.nc,12/04/2022,4.626090034
23,clinton,clinton/S2A_MSIL2A_20191005T001111_N0500_R073_T56KLU_20230613T235833.npy,clinton/S5P_RPRO_L2__NO2____20191005.nc,5/10/2019,12.38851335
24,clinton,clinton/S2A_MSIL2A_20220211T001111_N0400_R073_T56KLU_20220211T022753.npy,clinton/S5P_RPRO_L2__NO2____20220211.nc,11/02/2022,3.518146652
25,clinton,clinton/S2B_MSIL2A_20211009T001109_N0301_R073_T56KLU_20211009T015100.npy,clinton/S5P_OFFL_L2__NO2____20211009.nc,9/10/2021,2.587474438
26,clinton,clinton/S2A_MSIL2A_20190826T001111_N0500_R073_T56KLU_20230501T010213.npy,clinton/S5P_RPRO_L2__NO2____20190826.nc,26/08/2019,13.01578113
27,clinton,clinton/S2A_MSIL2A_20230527T001111_N0509_R073_T56KLU_20230527T030116.npy,clinton/S5P_OFFL_L2__NO2____20230527.nc,27/05/2023,11.6828385
28,clinton,clinton/S2A_MSIL2A_20200512T001111_N0500_R073_T56KLU_20230402T164734.npy,clinton/S5P_RPRO_L2__NO2____20200512.nc,12/05/2020,7.13515741
29,clinton,clinton/S2B_MSIL2A_20230422T001109_N0509_R073_T56KLU_20230422T014516.npy,clinton/S5P_OFFL_L2__NO2____20230422.nc,22/04/2023,4.909043066
30,clinton,clinton/S2A_MSIL2A_20211203T001111_N0301_R073_T56KLU_20211203T022529.npy,clinton/S5P_OFFL_L2__NO2____20211203.nc,3/12/2021,4.626090034
31,clinton,clinton/S2B_MSIL2A_20210112T001109_N0500_R073_T56KLU_20230602T161843.npy,clinton/S5P_OFFL_L2__NO2____20210112.nc,12/01/2021,1.097715801
32,clinton,clinton/S2B_MSIL2A_20200805T001109_N0500_R073_T56KLU_20230316T085351.npy,clinton/S5P_OFFL_L2__NO2____20200805.nc,5/08/2020,12.38851335
33,clinton,clinton/S2B_MSIL2A_20200626T001109_N0500_R073_T56KLU_20230401T113547.npy,clinton/S5P_RPRO_L2__NO2____20200626.nc,26/06/2020,8.546507103
34,clinton,clinton/S2B_MSIL2A_20210522T001109_N0500_R073_T56KLU_20230206T054355.npy,clinton/S5P_OFFL_L2__NO2____20210522.nc,22/05/2021,1.881799591
35,clinton,clinton/S2A_MSIL2A_20190905T001111_N0500_R073_T56KLU_20230502T105804.npy,clinton/S5P_OFFL_L2__NO2____20190905.nc,5/09/2019,20.07252897
36,clinton,clinton/S2A_MSIL2A_20220611T001121_N0400_R073_T56KLU_20220611T031613.npy,clinton/S5P_RPRO_L2__NO2____20220611.nc,11/06/2022,5.253357819
37,clinton,clinton/S2A_MSIL2A_20190528T001111_N0500_R073_T56KLU_20230618T164739.npy,clinton/S5P_RPRO_L2__NO2____20190528.nc,28/05/2019,16.93619632
38,clinton,clinton/S2B_MSIL2A_20210601T001109_N0500_R073_T56KLU_20230129T161150.npy,clinton/S5P_RPRO_L2__NO2____20210601.nc,1/06/2021,2.90110833
39,south_gladstone,south_gladstone/S2A_MSIL2A_20200422T001111_N0500_R073_T56KLU_20230406T200210.npy,south_gladstone/S5P_OFFL_L2__NO2____20200422.nc,22/04/2020,13.25100608
40,south_gladstone,south_gladstone/S2A_MSIL2A_20220711T001121_N0400_R073_T56KLU_20220711T033225.npy,south_gladstone/S5P_RPRO_L2__NO2____20220711.nc,11/07/2022,15.5024438
41,south_gladstone,south_gladstone/S2B_MSIL2A_20220914T001109_N0400_R073_T56KLU_20220914T013805.npy,south_gladstone/S5P_OFFL_L2__NO2____20220914.nc,14/09/2022,13.09732515
42,south_gladstone,south_gladstone/S2B_MSIL2A_20200318T001109_N0500_R073_T56KLU_20230408T145906.npy,south_gladstone/S5P_OFFL_L2__NO2____20200318.nc,18/03/2020,12.6237383
43,south_gladstone,south_gladstone/S2B_MSIL2A_20230522T001119_N0509_R073_T56KLU_20230522T014308.npy,south_gladstone/S5P_OFFL_L2__NO2____20230522.nc,22/05/2023,9.981719897
44,south_gladstone,south_gladstone/S2B_MSIL2A_20191020T001109_N0500_R073_T56KLU_20230703T233523.npy,south_gladstone/S5P_RPRO_L2__NO2____20191020.nc,20/10/2019,5.566989829
45,south_gladstone,south_gladstone/S2B_MSIL2A_20220417T001109_N0400_R073_T56KLU_20220417T022754.npy,south_gladstone/S5P_RPRO_L2__NO2____20220417.nc,17/04/2022,5.727215656
46,south_gladstone,south_gladstone/S2A_MSIL2A_20220412T001111_N0400_R073_T56KLU_20220412T023341.npy,south_gladstone/S5P_OFFL_L2__NO2____20220412.nc,12/04/2022,9.879447853
47,south_gladstone,south_gladstone/S2B_MSIL2A_20211009T001109_N0301_R073_T56KLU_20211009T015100.npy,south_gladstone/S5P_OFFL_L2__NO2____20211009.nc,9/10/2021,2.979515392
48,south_gladstone,south_gladstone/S2A_MSIL2A_20190826T001111_N0500_R073_T56KLU_20230501T010213.npy,south_gladstone/S5P_OFFL_L2__NO2____20190826.nc,26/08/2019,16.85778738
49,south_gladstone,south_gladstone/S2B_MSIL2A_20200616T001109_N0500_R073_T56KLU_20230403T065102.npy,south_gladstone/S5P_OFFL_L2__NO2____20200616.nc,16/06/2020,10.1146728
50,south_gladstone,south_gladstone/S2B_MSIL2A_20200606T001109_N0500_R073_T56KLU_20230403T072335.npy,south_gladstone/S5P_OFFL_L2__NO2____20200606.nc,6/06/2020,6.507889625
51,south_gladstone,south_gladstone/S2B_MSIL2A_20200417T001109_N0500_R073_T56KLU_20230418T194035.npy,south_gladstone/S5P_OFFL_L2__NO2____20200417.nc,17/04/2020,8.389689216
52,south_gladstone,south_gladstone/S2A_MSIL2A_20230527T001111_N0509_R073_T56KLU_20230527T030116.npy,south_gladstone/S5P_OFFL_L2__NO2____20230527.nc,27/05/2023,8.781732052
53,south_gladstone,south_gladstone/S2A_MSIL2A_20200512T001111_N0500_R073_T56KLU_20230402T164734.npy,south_gladstone/S5P_OFFL_L2__NO2____20200512.nc,12/05/2020,8.076057205
54,south_gladstone,south_gladstone/S2B_MSIL2A_20210112T001109_N0500_R073_T56KLU_20230602T161843.npy,south_gladstone/S5P_OFFL_L2__NO2____20210112.nc,12/01/2021,7.840832256
55,south_gladstone,south_gladstone/S2B_MSIL2A_20210721T001109_N0500_R073_T56KLU_20230129T091947.npy,south_gladstone/S5P_RPRO_L2__NO2____20210721.nc,21/07/2021,7.13515741
56,south_gladstone,south_gladstone/S2B_MSIL2A_20210522T001109_N0500_R073_T56KLU_20230206T054355.npy,south_gladstone/S5P_RPRO_L2__NO2____20210522.nc,22/05/2021,4.077233074
57,south_gladstone,south_gladstone/S2A_MSIL2A_20190905T001111_N0500_R073_T56KLU_20230502T105804.npy,south_gladstone/S5P_RPRO_L2__NO2____20190905.nc,5/09/2019,25.32588616
58,south_gladstone,south_gladstone/S2B_MSIL2A_20191109T001109_N0500_R073_T56KLU_20230611T025647.npy,south_gladstone/S5P_RPRO_L2__NO2____20191109.nc,9/11/2019,3.44996529
59,south_gladstone,south_gladstone/S2B_MSIL2A_20230601T001119_N0509_R073_T56KLU_20230601T014045.npy,south_gladstone/S5P_OFFL_L2__NO2____20230601.nc,1/06/2023,12.85896324
60,south_gladstone,south_gladstone/S2B_MSIL2A_20210601T001109_N0500_R073_T56KLU_20230129T161150.npy,south_gladstone/S5P_RPRO_L2__NO2____20210601.nc,1/06/2021,12.46692229
61,targinie,targinie/S2A_MSIL2A_20221029T001111_N0400_R073_T56KLU_20221029T030600.npy,targinie/S5P_OFFL_L2__NO2____20221029.nc,29/10/2022,3.606783177
62,targinie,targinie/S2B_MSIL2A_20230211T001109_N0509_R073_T56KLU_20230211T014321.npy,targinie/S5P_OFFL_L2__NO2____20230211.nc,11/02/2023,2.822699387
63,targinie,targinie/S2B_MSIL2A_20200726T001109_N0500_R073_T56KLU_20230423T020638.npy,targinie/S5P_OFFL_L2__NO2____20200726.nc,26/07/2020,0.235224949
64,targinie,targinie/S2A_MSIL2A_20200412T001111_N0500_R073_T56KLU_20230406T085454.npy,targinie/S5P_OFFL_L2__NO2____20200412.nc,12/04/2020,11.60443144
65,targinie,targinie/S2A_MSIL2A_20200422T001111_N0500_R073_T56KLU_20230406T200210.npy,targinie/S5P_OFFL_L2__NO2____20200422.nc,22/04/2020,12.23169734
66,targinie,targinie/S2B_MSIL2A_20200318T001109_N0500_R073_T56KLU_20230408T145906.npy,targinie/S5P_RPRO_L2__NO2____20200318.nc,18/03/2020,5.01813287
67,targinie,targinie/S2B_MSIL2A_20191020T001109_N0500_R073_T56KLU_20230703T233523.npy,targinie/S5P_RPRO_L2__NO2____20191020.nc,20/10/2019,16.46574642
68,targinie,targinie/S2A_MSIL2A_20191204T001111_N0500_R073_T56KLU_20230609T221403.npy,targinie/S5P_RPRO_L2__NO2____20191204.nc,4/12/2019,5.566989829
69,targinie,targinie/S2A_MSIL2A_20190826T001111_N0500_R073_T56KLU_20230501T010213.npy,targinie/S5P_RPRO_L2__NO2____20190826.nc,26/08/2019,4.090868594
70,targinie,targinie/S2B_MSIL2A_20200606T001109_N0500_R073_T56KLU_20230403T072335.npy,targinie/S5P_RPRO_L2__NO2____20200606.nc,6/06/2020,15.05439673
71,targinie,targinie/S2B_MSIL2A_20210621T001109_N0500_R073_T56KLU_20230201T025610.npy,targinie/S5P_OFFL_L2__NO2____20210621.nc,21/06/2021,7.762423313
72,targinie,targinie/S2B_MSIL2A_20211019T001109_N0301_R073_T56KLU_20211019T014633.npy,targinie/S5P_RPRO_L2__NO2____20211019.nc,19/10/2021,5.01813287
73,targinie,targinie/S2A_MSIL2A_20190717T001111_N0500_R073_T56KLU_20230625T092752.npy,targinie/S5P_OFFL_L2__NO2____20190717.nc,17/07/2019,1.111972315
74,targinie,targinie/S2A_MSIL2A_20190905T001111_N0500_R073_T56KLU_20230502T105804.npy,targinie/S5P_RPRO_L2__NO2____20190905.nc,5/09/2019,5.488582768
75,targinie,targinie/S2B_MSIL2A_20191109T001109_N0500_R073_T56KLU_20230611T025647.npy,targinie/S5P_OFFL_L2__NO2____20191109.nc,9/11/2019,2.195433483
76,mutdapilly,mutdapilly/S2B_MSIL2A_20231115T000219_N0509_R030_T56JMQ_20231115T013956.npy,mutdapilly/S5P_OFFL_L2__NO2____20231115.nc,15/11/2023,11.29079755
77,mutdapilly,mutdapilly/S2B_MSIL2A_20220802T000229_N0400_R030_T56JMQ_20220802T013614.npy,mutdapilly/S5P_OFFL_L2__NO2____20220802.nc,2/08/2022,8.076057205
78,mutdapilly,mutdapilly/S2A_MSIL2A_20230524T000221_N0509_R030_T56JMQ_20230524T034658.npy,mutdapilly/S5P_OFFL_L2__NO2____20230524.nc,24/05/2023,15.8725712
79,mutdapilly,mutdapilly/S2B_MSIL2A_20230320T000229_N0509_R030_T56JMQ_20230320T013457.npy,mutdapilly/S5P_OFFL_L2__NO2____20230320.nc,20/03/2023,4.745407419
80,mutdapilly,mutdapilly/S2B_MSIL2A_20230409T000229_N0509_R030_T56JMQ_20230409T013526.npy,mutdapilly/S5P_OFFL_L2__NO2____20230409.nc,9/04/2023,0.736355707
81,mutdapilly,mutdapilly/S2B_MSIL2A_20230519T000229_N0509_R030_T56JMQ_20230519T014858.npy,mutdapilly/S5P_OFFL_L2__NO2____20230519.nc,19/05/2023,7.936284659
82,mutdapilly,mutdapilly/S2A_MSIL2A_20230504T000221_N0509_R030_T56JMQ_20230504T041857.npy,mutdapilly/S5P_OFFL_L2__NO2____20230504.nc,4/05/2023,7.118112069
83,mutdapilly,mutdapilly/S2B_MSIL2A_20230119T000219_N0509_R030_T56JMQ_20230119T013727.npy,mutdapilly/S5P_OFFL_L2__NO2____20230119.nc,19/01/2023,5.410173824
84,mutdapilly,mutdapilly/S2A_MSIL2A_20221125T000221_N0400_R030_T56JMQ_20221125T024503.npy,mutdapilly/S5P_OFFL_L2__NO2____20221125.nc,25/11/2022,7.291973415
85,mutdapilly,mutdapilly/S2A_MSIL2A_20230104T000221_N0509_R030_T56JMQ_20230104T024458.npy,mutdapilly/S5P_OFFL_L2__NO2____20230104.nc,4/01/2023,5.072676831
86,mutdapilly,mutdapilly/S2A_MSIL2A_20220807T000231_N0400_R030_T56JMQ_20220807T032358.npy,mutdapilly/S5P_OFFL_L2__NO2____20220807.nc,7/08/2022,2.979515392
87,mutdapilly,mutdapilly/S2B_MSIL2A_20190719T000249_N0213_R030_T56JMQ_20190719T015707.npy,mutdapilly/S5P_RPRO_L2__NO2____20190719.nc,19/07/2019,13.25100608
88,mutdapilly,mutdapilly/S2B_MSIL2A_20230529T000229_N0509_R030_T56JMQ_20230529T013045.npy,mutdapilly/S5P_OFFL_L2__NO2____20230529.nc,29/05/2023,9.327181072
89,mutdapilly,mutdapilly/S2A_MSIL2A_20220817T000231_N0400_R030_T56JMQ_20220817T024900.npy,mutdapilly/S5P_OFFL_L2__NO2____20220817.nc,17/08/2022,10.89875659
90,mutdapilly,mutdapilly/S2A_MSIL2A_20220926T000231_N0400_R030_T56JMQ_20220926T024527.npy,mutdapilly/S5P_OFFL_L2__NO2____20220926.nc,26/09/2022,10.17882523
91,mutdapilly,mutdapilly/S2A_MSIL2A_20220608T000231_N0400_R030_T56JMQ_20220608T033607.npy,mutdapilly/S5P_RPRO_L2__NO2____20220608.nc,8/06/2022,5.399946243
92,mutdapilly,mutdapilly/S2A_MSIL2A_20230414T000221_N0509_R030_T56JMQ_20230414T024802.npy,mutdapilly/S5P_OFFL_L2__NO2____20230414.nc,14/04/2023,6.38175448
93,mutdapilly,mutdapilly/S2B_MSIL2A_20201220T000239_N0214_R030_T56JMQ_20201220T015734.npy,mutdapilly/S5P_OFFL_L2__NO2____20201220.nc,20/12/2020,4.861314983
94,north_maclean,north_maclean/S2A_MSIL2A_20221026T000221_N0400_R030_T56JMQ_20221026T024654.npy,north_maclean/S5P_OFFL_L2__NO2____20221026.nc,26/10/2022,5.723807717
95,north_maclean,north_maclean/S2A_MSIL2A_20231226T235231_N0510_R130_T56JMQ_20231227T021750.npy,north_maclean/S5P_OFFL_L2__NO2____20231226.nc,26/12/2023,3.763599182
96,north_maclean,north_maclean/S2A_MSIL2A_20221115T000221_N0400_R030_T56JMQ_20221115T024259.npy,north_maclean/S5P_OFFL_L2__NO2____20221115.nc,15/11/2022,4.312458023
97,north_maclean,north_maclean/S2B_MSIL2A_20200514T000239_N0214_R030_T56JMQ_20200514T020441.npy,north_maclean/S5P_RPRO_L2__NO2____20200514.nc,14/05/2020,6.821523517
98,north_maclean,north_maclean/S2B_MSIL2A_20220331T235239_N0400_R130_T56JMQ_20220401T015112.npy,north_maclean/S5P_OFFL_L2__NO2____20220331.nc,31/03/2022,0.470449898
99,north_maclean,north_maclean/S2B_MSIL2A_20220729T235239_N0400_R130_T56JMQ_20220730T011722.npy,north_maclean/S5P_OFFL_L2__NO2____20220729.nc,29/07/2022,10.82034765
100,north_maclean,north_maclean/S2A_MSIL2A_20220604T235251_N0400_R130_T56JMQ_20220605T023313.npy,north_maclean/S5P_RPRO_L2__NO2____20220604.nc,4/06/2022,3.19087724
101,north_maclean,north_maclean/S2A_MSIL2A_20230609T235231_N0509_R130_T56JMQ_20230610T024101.npy,north_maclean/S5P_OFFL_L2__NO2____20230609.nc,9/06/2023,9.56581396
102,north_maclean,north_maclean/S2A_MSIL2A_20220306T235251_N0400_R130_T56JMQ_20220307T014916.npy,north_maclean/S5P_RPRO_L2__NO2____20220306.nc,6/03/2022,1.176124744
103,north_maclean,north_maclean/S2A_MSIL2A_20230410T235231_N0509_R130_T56JMQ_20230411T023352.npy,north_maclean/S5P_OFFL_L2__NO2____20230410.nc,10/04/2023,5.072676831
104,north_maclean,north_maclean/S2B_MSIL2A_20230409T000229_N0509_R030_T56JMQ_20230409T013526.npy,north_maclean/S5P_OFFL_L2__NO2____20230409.nc,9/04/2023,4.745407419
105,north_maclean,north_maclean/S2B_MSIL2A_20230509T000229_N0509_R030_T56JMQ_20230509T012929.npy,north_maclean/S5P_OFFL_L2__NO2____20230509.nc,9/05/2023,10.30898931
106,north_maclean,north_maclean/S2A_MSIL2A_20220813T235241_N0400_R130_T56JMQ_20220814T030801.npy,north_maclean/S5P_OFFL_L2__NO2____20220813.nc,13/08/2022,5.802214778
107,north_maclean,north_maclean/S2A_MSIL2A_20220912T235241_N0400_R130_T56JMQ_20220913T025555.npy,north_maclean/S5P_OFFL_L2__NO2____20220912.nc,12/09/2022,7.291973415
108,north_maclean,north_maclean/S2B_MSIL2A_20230119T000219_N0509_R030_T56JMQ_20230119T013727.npy,north_maclean/S5P_OFFL_L2__NO2____20230119.nc,19/01/2023,2.587474438
109,north_maclean,north_maclean/S2B_MSIL2A_20220713T000229_N0400_R030_T56JMQ_20220713T013413.npy,north_maclean/S5P_OFFL_L2__NO2____20220713.nc,13/07/2022,3.845416065
110,north_maclean,north_maclean/S2A_MSIL2A_20230104T000221_N0509_R030_T56JMQ_20230104T024458.npy,north_maclean/S5P_OFFL_L2__NO2____20230104.nc,4/01/2023,3.19087724
111,north_maclean,north_maclean/S2A_MSIL2A_20220807T000231_N0400_R030_T56JMQ_20220807T032358.npy,north_maclean/S5P_OFFL_L2__NO2____20220807.nc,7/08/2022,5.566989829
112,north_maclean,north_maclean/S2B_MSIL2A_20211002T235249_N0301_R130_T56JMQ_20211003T013007.npy,north_maclean/S5P_OFFL_L2__NO2____20211002.nc,2/10/2021,7.44878942
113,north_maclean,north_maclean/S2A_MSIL2A_20190312T235241_N0211_R130_T56JMQ_20190313T015422.npy,north_maclean/S5P_RPRO_L2__NO2____20190312.nc,12/03/2019,9.31938854
114,north_maclean,north_maclean/S2B_MSIL2A_20230525T235239_N0509_R130_T56JMQ_20230526T011433.npy,north_maclean/S5P_OFFL_L2__NO2____20230525.nc,25/05/2023,11.53625008
115,north_maclean,north_maclean/S2A_MSIL2A_20220817T000231_N0400_R030_T56JMQ_20220817T024900.npy,north_maclean/S5P_OFFL_L2__NO2____20220817.nc,17/08/2022,9.722631847
116,north_maclean,north_maclean/S2A_MSIL2A_20221111T235231_N0400_R130_T56JMQ_20221112T022357.npy,north_maclean/S5P_OFFL_L2__NO2____20221111.nc,11/11/2022,7.291973415
117,north_maclean,north_maclean/S2A_MSIL2A_20220926T000231_N0400_R030_T56JMQ_20220926T024527.npy,north_maclean/S5P_OFFL_L2__NO2____20220926.nc,26/09/2022,5.802214778
118,north_maclean,north_maclean/S2A_MSIL2A_20220823T235241_N0400_R130_T56JMQ_20220824T022604.npy,north_maclean/S5P_OFFL_L2__NO2____20220823.nc,23/08/2022,5.727215656
119,north_maclean,north_maclean/S2A_MSIL2A_20230414T000221_N0509_R030_T56JMQ_20230414T024802.npy,north_maclean/S5P_OFFL_L2__NO2____20230414.nc,14/04/2023,7.036293305
120,north_maclean,north_maclean/S2B_MSIL2A_20201220T000239_N0214_R030_T56JMQ_20201220T015734.npy,north_maclean/S5P_OFFL_L2__NO2____20201220.nc,20/12/2020,2.822699387
121,north_maclean,north_maclean/S2B_MSIL2A_20190426T235249_N0211_R130_T56JMQ_20190427T014316.npy,north_maclean/S5P_RPRO_L2__NO2____20190426.nc,26/04/2019,9.487406899
122,north_maclean,north_maclean/S2B_MSIL2A_20220808T235239_N0400_R130_T56JMQ_20220809T012639.npy,north_maclean/S5P_OFFL_L2__NO2____20220808.nc,8/08/2022,8.860139114
123,north_maclean,north_maclean/S2B_MSIL2A_20220609T235239_N0400_R130_T56JMQ_20220610T012436.npy,north_maclean/S5P_OFFL_L2__NO2____20220609.nc,9/06/2022,5.645398773
124,flinders_view,flinders_view/S2A_MSIL2A_20221115T000221_N0400_R030_T56JMQ_20221115T024259.npy,flinders_view/S5P_OFFL_L2__NO2____20221115.nc,15/11/2022,15.48207897
125,flinders_view,flinders_view/S2A_MSIL2A_20230524T000221_N0509_R030_T56JMQ_20230524T034658.npy,flinders_view/S5P_OFFL_L2__NO2____20230524.nc,24/05/2023,31.30630229
126,flinders_view,flinders_view/S2B_MSIL2A_20230409T000229_N0509_R030_T56JMQ_20230409T013526.npy,flinders_view/S5P_OFFL_L2__NO2____20230409.nc,9/04/2023,4.827224301
127,flinders_view,flinders_view/S2A_MSIL2A_20220807T000231_N0400_R030_T56JMQ_20220807T032358.npy,flinders_view/S5P_OFFL_L2__NO2____20220807.nc,7/08/2022,18.34754601
128,flinders_view,flinders_view/S2A_MSIL2A_20221205T000221_N0400_R030_T56JMQ_20221205T024055.npy,flinders_view/S5P_OFFL_L2__NO2____20221205.nc,5/12/2022,12.35442267
129,flinders_view,flinders_view/S2B_MSIL2A_20190719T000249_N0213_R030_T56JMQ_20190719T015707.npy,flinders_view/S5P_RPRO_L2__NO2____20190719.nc,19/07/2019,29.63834356
130,flinders_view,flinders_view/S2B_MSIL2A_20190818T000249_N0213_R030_T56JMQ_20190818T015641.npy,flinders_view/S5P_OFFL_L2__NO2____20190818.nc,18/08/2019,15.83848052
131,flinders_view,flinders_view/S2A_MSIL2A_20220608T000231_N0400_R030_T56JMQ_20220608T033607.npy,flinders_view/S5P_OFFL_L2__NO2____20220608.nc,8/06/2022,17.75437079
132,flinders_view,flinders_view/S2B_MSIL2A_20190219T000239_N0211_R030_T56JMQ_20190219T015436.npy,flinders_view/S5P_RPRO_L2__NO2____20190219.nc,19/02/2019,10.5851227
133,rocklea,rocklea/S2B_MSIL2A_20200828T235249_N0214_R130_T56JMQ_20200829T015907.npy,rocklea/S5P_RPRO_L2__NO2____20200828.nc,28/08/2020,15.99529652
134,rocklea,rocklea/S2A_MSIL2A_20221026T000221_N0400_R030_T56JMQ_20221026T024654.npy,rocklea/S5P_OFFL_L2__NO2____20221026.nc,26/10/2022,18.97481254
135,rocklea,rocklea/S2B_MSIL2A_20220802T000229_N0400_R030_T56JMQ_20220802T013614.npy,rocklea/S5P_OFFL_L2__NO2____20220802.nc,2/08/2022,28.77585208
136,rocklea,rocklea/S2A_MSIL2A_20191117T235251_N0213_R130_T56JMQ_20191118T014640.npy,rocklea/S5P_RPRO_L2__NO2____20191117.nc,17/11/2019,6.194257614
137,rocklea,rocklea/S2B_MSIL2A_20220530T235249_N0400_R130_T56JMQ_20220531T012325.npy,rocklea/S5P_OFFL_L2__NO2____20220530.nc,30/05/2022,19.14526532
138,rocklea,rocklea/S2B_MSIL2A_20200514T000239_N0214_R030_T56JMQ_20200514T020441.npy,rocklea/S5P_OFFL_L2__NO2____20200514.nc,14/05/2020,16.38733748
139,rocklea,rocklea/S2A_MSIL2A_20210619T235251_N0300_R130_T56JMQ_20210620T015254.npy,rocklea/S5P_OFFL_L2__NO2____20210619.nc,19/06/2021,1.489758637
140,rocklea,rocklea/S2B_MSIL2A_20230119T000219_N0509_R030_T56JMQ_20230119T013727.npy,rocklea/S5P_OFFL_L2__NO2____20230119.nc,19/01/2023,10.5851227
141,rocklea,rocklea/S2B_MSIL2A_20220713T000229_N0400_R030_T56JMQ_20220713T013413.npy,rocklea/S5P_RPRO_L2__NO2____20220713.nc,13/07/2022,3.685190238
142,rocklea,rocklea/S2B_MSIL2A_20211002T235249_N0301_R130_T56JMQ_20211003T013007.npy,rocklea/S5P_RPRO_L2__NO2____20211002.nc,2/10/2021,12.6237383
143,rocklea,rocklea/S2A_MSIL2A_20221205T000221_N0400_R030_T56JMQ_20221205T024055.npy,rocklea/S5P_OFFL_L2__NO2____20221205.nc,5/12/2022,7.919239318
